	time	total_volume	cell_type	cycle_model	current_phase	elapsed_time_in_phase	nuclear_volume	cytoplasmic_volume	fluid_fraction	calcified_fraction	x_orientation	x_orientation	y_orientation	x_orientation	x_orientation	polarity	migration_speed	x_motility_vector	x_motility_vector	y_motility_vector	x_motility_vector	x_motility_vector	migration_bias	x_motility_bias_direction	x_motility_bias_direction	y_motility_bias_direction	x_motility_bias_direction	x_motility_bias_direction	persistence_time	motility_reserved	next_physiboss_run	TNFR_binding_rate	TNFR_endocytosis_rate	TNFR_recycling_rate	TNFR_activation_threshold	TNFR_receptors_per_cell	TNF_net_production_rate	tnf_node	fadd_node	nfkb_node	external_tnf	divide	cycle_rate	unbound_external_TNFR	bound_external_TNFR	bound_internal_TNFR	TFN_net_production_rate
0	0	2494.0	0.0	5.0	14.0	0.529296214796025	540.0	1954.0	0.75	0.0	0.03251581560544081	0.0078713255500673	0.024315722535253468	0.03251581560544081	0.0078713255500673	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	10.0	0.24299999999999636	0.12799999999999837	0.29300000000000503	0.5	1.0	0.0	0.0	0.5254833040421792	0.0	0.0	0.0	0.000750000000000004	1.0	0.0	0.0	0.0
1	10	2480.967185009814	0.0	5.0	14.0	10.44910515801023	537.1803041779519	1943.786880831861	0.7499727202489069	0.0	0.03149577946030294	0.0062306614200278495	0.023957907567582412	0.03149577946030294	0.0062306614200278495	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	10.0	0.24299999999999633	0.1279999999999983	0.29300000000000503	0.5	1.0	0.0	0.0	0.5262237762237763	0.0	0.0	0.0	0.0007500000000000041	1.0	0.0	0.0	0.0
2	20	2463.992348481299	0.0	5.0	14.0	20.224971373758816	533.5249287943712	1930.4674196869291	0.7498436599353079	0.0	0.03161975348469197	0.006692989288766963	0.02157097210647273	0.03161975348469197	0.006692989288766963	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	10.0	0.24299999999999633	0.12799999999999823	0.29300000000000503	0.5	1.0	0.0	0.0	0.527367506516073	0.0	0.0	0.0	0.0007500000000000044	1.0	0.0	0.0	0.0
3	30	2430.773895734274	0.0	5.0	14.0	29.482951454798922	526.3757325938988	1904.3981631403756	0.7496010638214239	0.0	0.02854691931465831	0.003948386878375839	0.01907264776487619	0.02854691931465831	0.003948386878375839	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	10.0	0.2429999999999963	0.12799999999999806	0.29300000000000503	0.5	1.0	0.0	0.0	0.5274442538593482	0.0	0.0	0.0	0.0007500000000000046	1.0	0.0	0.0	0.0
4	40	2421.4983139263923	0.0	5.0	14.0	39.17576824242522	524.4458890409182	1897.0524248854754	0.74923606219575	0.0	0.027409410763966576	0.0029534284291068374	0.021494682279429703	0.027409410763966576	0.0029534284291068374	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	10.0	0.2429999999999963	0.127999999999998	0.29300000000000503	0.5	1.0	0.0	0.0	0.5286080273270709	0.0	0.0	0.0	0.0007500000000000047	1.0	0.0	0.0	0.0
5	50	2412.631834335452	0.0	5.0	14.0	48.78821142399595	522.6197473983075	1890.012086937147	0.7488799650486995	0.0	0.027546385867240827	0.0015431478477818067	0.02007522635652047	0.027546385867240827	0.0015431478477818067	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	10.0	0.2429999999999963	0.12799999999999798	0.29300000000000503	0.5	1.0	0.0	0.0	0.5280612244897959	0.0	0.0	0.0	0.0007500000000000048	1.0	0.0	0.0	0.0
6	60	2396.059532886967	0.0	5.0	14.0	57.924154379392775	519.1301131769562	1876.9294197100123	0.7485361706508131	0.0	0.02398843051055608	0.00038659927604193427	0.01900133134666345	0.02398843051055608	0.00038659927604193427	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	10.0	0.2429999999999963	0.12799999999999787	0.2930000000000051	0.5	1.0	0.0	0.0	0.5265822784810127	0.0	0.0	0.0	0.000750000000000005	1.0	0.0	0.0	0.0
7	70	2380.211242177048	0.0	5.0	14.0	66.97804632434926	515.8106816415916	1864.4005605354562	0.7481059947446206	0.0	0.023109040023695036	-0.0023597527261810937	0.01981375884727623	0.023109040023695036	-0.0023597527261810937	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	10.0	0.24299999999999627	0.12799999999999778	0.2930000000000051	0.5	1.0	0.0	0.0	0.525963149078727	0.0	0.0	0.0	0.0007500000000000052	1.0	0.0	0.0	0.0
8	80	2365.0564669546907	0.0	5.0	14.0	75.90886852357987	512.6555552905182	1852.4009116641714	0.7476612788320893	0.0	0.02357751326895822	-0.0032811493036845824	0.020374504288767106	0.02357751326895822	-0.0032811493036845824	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	10.0	0.24299999999999627	0.1279999999999977	0.2930000000000051	0.5	1.0	0.0	0.0	0.5245220282626767	0.0	0.0	0.0	0.0007500000000000053	1.0	0.0	0.0	0.0
9	90	2340.9495925880806	0.0	5.0	14.0	84.11664676529955	507.57054748713006	1833.3790451009509	0.7471303323958576	0.0	0.021906042789236784	-0.001517060729724737	0.017606298596850745	0.021906042789236784	-0.001517060729724737	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	10.0	0.24299999999999625	0.12799999999999756	0.2930000000000051	0.5	1.0	0.0	0.0	0.5283483976992605	0.0	0.0	0.0	0.0007500000000000057	1.0	0.0	0.0	0.0
10	100	2333.093910018274	0.0	5.0	14.0	93.18517515082398	506.02331473579824	1827.0705952824737	0.7465902936257853	0.0	0.022102981869337825	-0.0019630834936961617	0.018617043862767812	0.022102981869337825	-0.0019630834936961617	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	10.0	0.24299999999999625	0.1279999999999975	0.2930000000000051	0.5	1.0	0.0	0.0	0.5257563368765331	0.0	0.0	0.0	0.0007500000000000058	1.0	0.0	0.0	0.0
11	110	2320.1281996052176	0.0	5.0	14.0	101.70456484030747	503.37385760738533	1816.7543419978317	0.7460814544082286	0.0	0.021908151934548033	-0.003338839937010538	0.019238550540017944	0.021908151934548033	-0.003338839937010538	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	10.0	0.24299999999999625	0.12799999999999742	0.29300000000000515	0.5	1.0	0.0	0.0	0.5267857142857143	0.0	0.0	0.0	0.0007500000000000059	1.0	0.0	0.0	0.0
12	120	2304.135738009199	0.0	5.0	14.0	109.72222955199071	500.07306231359155	1804.0626756956071	0.7456243971889877	0.0	0.019063634155847952	-0.00451460379353415	0.017897381881376764	0.019063634155847952	-0.00451460379353415	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	10.0	0.24299999999999622	0.1279999999999973	0.29300000000000515	0.5	1.0	0.0	0.0	0.5237329042638778	0.0	0.0	0.0	0.0007500000000000061	1.0	0.0	0.0	0.0
13	130	2279.687590714928	0.0	5.0	14.0	116.80520917944402	494.9456367732905	1784.7419539416367	0.74510511942423	0.0	0.022194099852511858	-0.0029433249130945754	0.021613296235600148	0.022194099852511858	-0.0029433249130945754	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	10.0	0.24299999999999622	0.12799999999999717	0.29300000000000515	0.5	1.0	0.0	0.0	0.5246422893481717	0.0	0.0	0.0	0.0007500000000000064	1.0	0.0	0.0	0.0
14	140	2267.3212202465425	0.0	5.0	14.0	124.75615825338528	492.45429084268477	1774.8669294038602	0.7445484847559241	0.0	0.0205744123671973	-0.0024989566483684706	0.02089310033958461	0.0205744123671973	-0.0024989566483684706	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	10.0	0.24299999999999622	0.1279999999999971	0.29300000000000515	0.5	1.0	0.0	0.0	0.5228706624605678	0.0	0.0	0.0	0.0007500000000000065	1.0	0.0	0.0	0.0
15	150	2234.838143636916	0.0	5.0	14.0	130.08469335695688	485.6071691351264	1749.2309745017872	0.7440195754631687	0.0	0.024015156496236187	0.0009608872870142146	0.020688382360485046	0.024015156496236187	0.0009608872870142146	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	10.0	0.2429999999999962	0.1279999999999969	0.2930000000000052	0.5	1.0	0.0	0.0	0.5217054263565891	0.0	0.0	0.0	0.000750000000000007	1.0	0.0	0.0	0.0
16	160	2226.2171018264535	0.0	5.0	14.0	138.14731792320916	483.9638205925239	1742.2532812339305	0.743359975100339	0.0	0.024507011787779292	0.0017760072266962594	0.019700845705087098	0.024507011787779292	0.0017760072266962594	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	10.0	0.2429999999999962	0.1279999999999968	0.2930000000000052	0.5	1.0	0.0	0.0	0.5204003079291762	0.0	0.0	0.0	0.0007500000000000071	1.0	0.0	0.0	0.0
17	170	2224.9677112071263	0.0	5.0	14.0	147.00437716101686	483.91955568151184	1741.048155525611	0.7428320334140069	0.0	0.02303700615362476	0.0010889624531146573	0.018645801611503195	0.02303700615362476	0.0010889624531146573	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	10.0	0.24299999999999616	0.12799999999999678	0.2930000000000052	0.5	1.0	0.0	0.0	0.5207055214723927	0.0	0.0	0.0	0.0007500000000000072	1.0	0.0	0.0	0.0
18	180	2220.580998407029	0.0	5.0	14.0	155.32186196575907	483.1840149091201	1737.3969834979075	0.7423953134152993	0.0	0.021753644614599135	-0.0012551966389882884	0.017998009816068514	0.021753644614599135	-0.0012551966389882884	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	10.0	0.24299999999999616	0.12799999999999673	0.2930000000000052	0.5	1.0	0.0	0.0	0.5198473282442748	0.0	0.0	0.0	0.0007500000000000073	1.0	0.0	0.0	0.0
19	190	2220.186896339118	0.0	5.0	14.0	164.05584177090216	483.30486865972017	1736.8820276793974	0.7420207867229845	0.0	0.02272439258824381	-0.0013744914822790334	0.01726589931217209	0.02272439258824381	-0.0013744914822790334	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	10.0	0.24299999999999616	0.1279999999999967	0.2930000000000052	0.5	1.0	0.0	0.0	0.5193916349809886	0.0	0.0	0.0	0.0007500000000000073	1.0	0.0	0.0	0.0
