;;;;14
-51.2137;-4.55442;-83.2907;8.5;14
-37.5888;-33.2832;-84.4271;9.8791;14
-37.6541;-13.6737;-86.5638;8.5;14
-38.7093;0.223641;-85.6339;8.93259;14
-35.4237;20.7316;-84.4495;10.0373;14
-21.6863;-40.8023;-87.282;9.31441;14
-20.457;-22.107;-86.0417;8.72424;14
-21.191;-8.58699;-84.1779;8.68751;14
-20.1745;10.7166;-86.0735;8.9461;14
-22.5775;28.6424;-83.8703;9.1147;14
-9.02799;-49.3179;-83.452;10.3831;14
-6.88653;-30.1996;-87.0069;9.25676;14
-6.70109;-17.1687;-86.3095;8.92614;14
-6.68777;0.159854;-85.1603;10.1914;14
-7.77875;19.9209;-83.5472;10.1998;14
-7.84761;38.2974;-83.531;9.71243;14
7.60351;-40.894;-85.683;10.0896;14
5.94894;-24.3406;-83.397;10.0954;14
8.5685;-6.01829;-85.6375;8.76963;14
6.47517;10.8833;-86.7981;8.73724;14
7.74972;27.7539;-87.4803;8.84193;14
8.76834;45.41;-83.1479;10.2972;14
19.9542;-48.817;-84.3397;9.44966;14
23.8245;-34.3121;-86.4994;10.0918;14
20.599;-15.664;-85.0455;8.5;14
22.5894;3.45774;-86.9589;8.58914;14
23.975;20.4049;-84.5403;8.88816;14
23.4088;37.8392;-84.8241;9.8457;14
35.923;-39.8056;-83.6807;9.99562;14
35.2746;-26.0117;-86.1669;8.5;14
37.2275;-5.58403;-85.3156;10.2046;14
36.2089;11.1301;-83.5743;10.2277;14
37.3746;26.7552;-83.8608;10.0868;14
-70.5057;-14.7296;-69.1699;9.3986;14
-57.77;-39.1177;-71.2849;9.97762;14
-56.5964;-25.7059;-72.4555;9.30194;14
-54.3462;-8.93067;-70.9266;8.5;14
-56.197;10.0026;-69.7403;10.3383;14
-57.7468;28.4292;-71.3538;8.5;14
-54.5719;46.9411;-68.3717;9.52835;14
-41.4945;-51.2596;-72.7088;9.08313;14
-41.2889;-29.884;-71.187;9.44447;14
-42.3187;-17.0337;-69.4272;10.4347;14
-39.3438;1.83237;-68.9845;8.5;14
-42.2973;16.7614;-68.753;8.5;14
-42.564;34.2374;-69.8245;9.48534;14
-41.2197;53.3538;-68.963;8.5;14
-26.3138;-57.0233;-70.1267;8.69547;14
-28.3779;-42.914;-68.3804;10.4235;14
-26.1849;-24.6927;-70.2968;8.78999;14
-24.2139;-8.96024;-72.3287;8.5;14
-26.7609;11.1367;-69.3157;9.33999;14
-25.9136;26.784;-69.0695;10.0291;14
-27.5315;43.6636;-70.7154;9.33376;14
-27.1511;62.3571;-69.6168;9.79464;14
-13.7277;-63.7381;-68.929;9.87774;14
-13.8522;-48.1681;-68.4329;8.5;14
-11.2932;-31.1591;-72.7621;8.91585;14
-13.0105;-14.8985;-70.9625;9.29638;14
-9.69915;2.16642;-72.1614;9.45092;14
-11.4425;16.464;-70.5036;8.82064;14
-11.6378;36.7025;-71.2798;9.09843;14
-10.6213;55.1183;-70.1981;9.75011;14
2.42839;-56.3773;-68.5683;9.01971;14
4.27379;-40.3643;-72.4412;8.76763;14
3.14519;-22.6282;-68.3996;10.2393;14
4.93459;-8.27177;-71.8139;9.90275;14
2.19701;10.0154;-69.0748;8.5;14
4.57629;26.7876;-69.6667;8.5;14
4.80925;45.7232;-70.9163;9.40266;14
3.59107;63.6778;-69.9177;9.87208;14
16.5055;-66.2895;-69.6918;9.33398;14
15.8373;-47.1268;-71.1983;8.71329;14
19.7814;-30.3375;-70.7784;10.2304;14
16.1407;-13.7382;-68.6453;8.5;14
16.8303;1.02005;-71.2893;9.24351;14
16.0228;18.2707;-69.0918;8.72477;14
17.3892;35.5072;-70.6568;9.03495;14
19.5416;55.1154;-70.1706;10.194;14
31.1732;-57.8128;-69.489;8.5;14
31.6423;-38.3552;-68.3793;9.87873;14
31.7888;-21.9021;-69.5883;8.5;14
33.8074;-6.30923;-68.7781;9.53103;14
30.8196;12.4796;-71.8684;9.73152;14
33.8598;28.5021;-68.486;10.0382;14
34.0925;43.6135;-71.9384;8.5;14
46.518;-51.3474;-68.5256;9.61922;14
46.4042;-30.425;-71.9997;9.01313;14
47.4938;-13.2805;-71.9913;9.9526;14
45.1883;1.43848;-69.0932;8.5;14
47.6824;16.9535;-68.4544;10.3912;14
49.0084;36.903;-71.9228;10.2103;14
46.9926;54.2787;-68.5909;8.5;14
59.7823;-25.7485;-72.1046;10.0688;14
62.6008;-5.53068;-71.9585;8.73835;14
61.2494;9.98591;-68.8134;9.81409;14
-80.4536;-8.30731;-55.2779;9.69228;14
-80.0676;12.536;-54.4407;8.7296;14
-65.6547;-48.1027;-54.3077;10.1245;14
-67.905;-34.1545;-55.0026;8.95215;14
-65.7414;-12.4622;-56.7221;8.50736;14
-64.645;1.47282;-53.7336;9.72048;14
-68.2673;19.5622;-57.7419;8.68328;14
-66.7533;35.5918;-54.9025;8.5;14
-52.1017;-59.4633;-54.6993;9.7421;14
-53.278;-42.4426;-57.7591;8.54632;14
-51.4119;-24.6579;-57.8428;8.5;14
-49.6963;-4.70058;-57.0481;9.83619;14
-51.9463;11.9796;-54.3061;9.7551;14
-50.9111;27.7188;-57.9436;10.3779;14
-52.1756;45.2031;-54.0744;9.75705;14
-50.5619;59.386;-54.1583;10.0947;14
-38.9515;-66.3592;-56.4023;9.78686;14
-38.5833;-51.1908;-54.3222;9.22818;14
-36.5204;-30.9569;-56.2356;9.62245;14
-36.4406;-15.108;-55.9886;10.2702;14
-38.1597;2.19579;-54.391;8.98033;14
-36.2353;21.1679;-57.2353;10.2728;14
-35.2113;36.8833;-55.0687;8.75833;14
-37.4919;51.2259;-56.6891;10.0445;14
-35.5725;70.2157;-57.8402;10.4064;14
-23.9375;-76.0737;-57.1596;9.56038;14
-21.903;-56.158;-56.5236;9.42137;14
-21.2325;-40.4904;-54.5105;10.0066;14
-24.1622;-22.4078;-56.9349;9.91108;14
-21.5323;-7.39712;-56.3096;8.98657;14
-22.5321;9.04005;-56.1996;9.44496;14
-21.6519;25.4568;-55.8902;8.61865;14
-21.5105;42.1984;-56.6652;8.5;14
-22.32;63.6387;-54.5593;10.3642;14
-22.1562;77.5114;-56.8165;9.14647;14
-9.37247;-80.802;-55.9402;8.5;14
-5.59702;-65.5046;-55.9136;9.0412;14
-6.25705;-47.0426;-54.9532;9.62786;14
-8.97529;-30.0237;-54.3384;9.80216;14
-9.12349;-14.0305;-55.4416;8.61231;14
-7.00974;0.291779;-56.8387;8.5;14
-5.7966;21.2724;-55.0929;10.3787;14
-8.51183;36.842;-55.6116;10.3709;14
-5.7959;54.9486;-55.1889;10.4463;14
-9.05592;70.2441;-55.0136;8.9171;14
9.02318;-74.3486;-56.9427;8.95921;14
6.47402;-58.1854;-56.6403;9.9375;14
7.11598;-41.8006;-54.9472;8.5;14
9.30573;-22.5079;-57.1718;9.348;14
6.09518;-8.23973;-56.7602;9.37777;14
5.47535;9.88043;-55.2109;8.95394;14
8.24391;27.6465;-53.8571;10.1128;14
8.67164;45.1262;-56.1819;10.2821;14
8.61149;59.5525;-57.973;8.76315;14
8.46926;79.8464;-54.1441;9.33081;14
22.066;-64.1055;-56.8885;9.79249;14
24.0832;-50.2688;-53.688;8.97699;14
20.0578;-32.4524;-55.2811;9.10775;14
19.9833;-12.6407;-57.8077;9.31056;14
23.5401;1.12062;-56.2379;9.29185;14
23.7389;20.8023;-55.7575;10.1452;14
22.2786;38.5109;-55.715;10.0929;14
22.8479;54.2008;-54.0889;10.4336;14
22.0968;70.6442;-57.6913;9.08793;14
38.8035;-55.9629;-56.6469;9.06067;14
34.9061;-38.1022;-54.9593;8.60039;14
38.5457;-25.4688;-56.3196;9.04343;14
37.0393;-5.38715;-54.827;8.57831;14
38.4456;8.03528;-55.0195;9.23354;14
38.9179;25.2413;-54.8246;9.85015;14
36.4869;46.2296;-56.6669;9.17439;14
36.0146;60.5108;-54.0061;8.5;14
52.6587;-50.9826;-56.4724;8.97539;14
51.9003;-31.0409;-53.9052;9.95776;14
52.5396;-14.8954;-53.763;8.5;14
51.9538;-0.0779929;-54.1729;9.99184;14
50.4365;18.2076;-56.0715;9.0008;14
52.924;34.0487;-55.8525;9.24176;14
52.7328;55.0406;-56.6279;10.1122;14
64.5395;-40.8632;-56.7462;9.03274;14
67.5971;-24.9348;-56.1821;9.38578;14
67.6326;-4.61179;-54.6942;8.5;14
65.741;12.1089;-53.7646;9.54477;14
65.8272;26.482;-54.6461;8.5;14
64.4898;46.1148;-54.0877;9.81335;14
79.495;-17.0774;-56.7063;10.1836;14
82.0603;1.16048;-54.1342;8.92226;14
-87.339;-21.2044;-40.3427;9.37018;14
-83.7117;-8.57137;-40.1209;10.0307;14
-86.0366;12.2369;-39.1202;9.63572;14
-86.6688;29.2633;-38.9191;9.84885;14
-70.223;-47.6203;-39.8183;8.5;14
-71.8916;-34.293;-41.8682;10.2288;14
